close,open,date,high,volume,low
1990.6,1981.9,2025-07-09,1999.0,295995,1976.4
2001.5,1999.9,2025-07-10,2006.6,246538,1987.0
1982.5,1999.0,2025-07-11,2028.8,471769,1975.0
1977.9,1974.0,2025-07-14,1987.9,236099,1963.3
1979.9,1983.2,2025-07-15,1998.0,152230,1970.9
1991.9,1982.9,2025-07-16,1997.5,253415,1969.0
1978.8,1991.9,2025-07-17,1993.9,302273,1973.8
1969.9,1985.0,2025-07-18,1989.7,255412,1960.1
1978.4,1973.9,2025-07-21,1985.0,385752,1960.6
1958.9,1987.0,2025-07-22,1993.6,224258,1955.1
1950.0,1967.9,2025-07-23,1967.9,569821,1915.3
1890.0,1953.9,2025-07-24,1956.1,1106140,1887.0
1847.7,1889.9,2025-07-25,1904.8,648049,1845.0
1825.6,1847.7,2025-07-28,1857.7,562103,1821.0
1827.4,1825.6,2025-07-29,1844.0,432427,1821.8
1811.2,1836.5,2025-07-30,1838.6,909591,1805.0
1788.4,1810.1,2025-07-31,1827.9,1524691,1782.0
1794.6,1792.0,2025-08-01,1822.0,305490,1791.0
1790.2,1815.0,2025-08-04,1815.0,491663,1780.0
1801.8,1795.0,2025-08-05,1807.4,385093,1782.0
1830.4,1807.2,2025-08-06,1838.8,695635,1798.6
1817.8,1830.4,2025-08-07,1830.4,450575,1790.0
1788.2,1819.0,2025-08-08,1823.9,182910,1780.6
1786.2,1794.0,2025-08-11,1796.9,175285,1781.0
1787.7,1790.0,2025-08-12,1800.7,121581,1785.2
1786.3,1791.9,2025-08-13,1803.0,167734,1780.6
1782.7,1789.9,2025-08-14,1797.4,124026,1780.7
1843.5,1829.0,2025-08-18,1852.8,527140,1811.0
1859.5,1848.0,2025-08-19,1871.5,375759,1840.5
1863.1,1870.0,2025-08-20,1871.0,145345,1848.0
1849.9,1873.5,2025-08-21,1873.5,165055,1847.0
1821.1,1853.8,2025-08-22,1860.7,202082,1818.2
1807.7,1819.0,2025-08-25,1828.3,215303,1805.0
1798.5,1807.7,2025-08-26,1817.9,169357,1795.7
1801.0,1800.5,2025-08-28,1813.5,203199,1781.1
1801.8,1800.9,2025-08-29,1817.7,186970,1797.0
1818.4,1810.0,2025-09-01,1821.0,136692,1805.1
1822.0,1820.0,2025-09-02,1836.8,130789,1813.0
1843.1,1826.2,2025-09-03,1849.0,191852,1818.4
1840.4,1879.9,2025-09-04,1881.1,302257,1830.0
1829.0,1845.7,2025-09-05,1846.1,143993,1818.8
